sigma_total,,sigma_HI,,sigma_H2,,v_circ_kms,,,sigma_sfr,
r,smdf,r_kpc,sigma_HI,r_kpc,sigma_H2,r (kpc),vcirc,quant_error,r_kpc,sigma_sfr
0.09,16100,0.364148816,3.205917786,0.383314543,148.805522,0.09,107.1,15,0.402480271,0.116272281
0.19,12100,1.14994363,4.047089951,1.14994363,150.8590709,0.19,172.95,15,0.919954904,0.110069417
0.3,8720,1.916572717,4.454608319,1.916572717,133.3521432,0.3,219.82,15,1.379932356,0.095971627
0.42,6120,2.683201804,4.454608319,2.702367531,100,0.42,240.59,15,1.839909808,0.080308572
0.56,4380,3.468996618,4.836417785,3.468996618,78.13707377,0.56,248.39,15,2.223224352,0.063616743
0.7,3370,4.254791432,5.859453915,4.254791432,69.06940492,0.7,250.68,15,2.606538895,0.049708261
0.86,2670,5.021420519,6.189658189,5.040586246,53.23416866,0.86,250.45,15,2.989853439,0.039919995
1.04,2170,5.807215333,5.471359333,5.807215333,29.93577295,1.04,249.72,15,3.373167982,0.030348893
1.23,1830,6.573844419,4.516082892,6.573844419,14.08670837,1.23,249.55,15,3.890642616,0.029528276
1.45,1550,7.359639233,4.454608319,7.359639233,10.85711119,1.45,250.17,15,4.388951522,0.029935773
1.68,1330,8.12626832,5.250952567,8.145434047,16.37893707,1.68,251.55,15,4.925591883,0.030348893
1.94,1150,8.912063134,6.720180721,8.931228861,25.05010345,1.94,253.69,15,5.385569335,0.027572503
2.23,980,9.678692221,8.254041853,9.697857948,26.10157216,2.23,257.32,15,5.82638106,0.023072531
2.54,821,10.48365276,9.337660833,10.48365276,20.67646023,2.54,261.76,15,6.209695603,0.01852922
2.89,661,11.23111612,9.210553177,11.26944758,10.70932022,2.89,262.53,15,6.669673055,0.014677993
3.27,533,12.03607666,8.141684814,12.03607666,3.119231579,3.27,257.63,15,7.129650507,0.012451971
3.69,450,12.80270575,6.906940492,,,3.69,249.44,15,7.589627959,0.011312834
4.15,406,13.58850056,6.189658189,,,4.15,244.25,15,8.107102593,0.01115884
4.65,368,14.33596392,5.779692884,,,4.65,246.66,15,8.586245772,0.012974638
5.21,315,15.12175874,5.623413252,,,5.21,251.98,15,9.027057497,0.015505158
5.82,253,15.90755355,5.779692884,,,5.82,254.56,15,9.506200676,0.017540728
6.49,197,16.69334837,5.623413252,,,6.49,253.06,15,10.00450958,0.019306977
7.23,143,17.44081172,5.779692884,,,7.23,251.5,15,10.50281849,0.019573418
8.05,91.2,,,,,8.05,243.01,15,11.02029312,0.01852922
8.94,56.6,,,,,8.94,224.03,15,11.51860203,0.01660497
9.93,42.9,,,,,9.93,200.89,15,11.95941375,0.014086708
,,,,,,11.01,172.95,15,12.38105975,0.011787686
,,,,,,12.2,147.96,15,12.80270575,0.009466523
,,,,,,,,,13.18602029,0.007396864
,,,,,,,,,13.56933484,0.005859454
,,,,,,,,,13.97181511,0.004578406
,,,,,,,,,14.35512965,0.003577432
,,,,,,,,,14.75760992,0.002952828
,,,,,,,,,15.19842165,0.002371374
,,,,,,,,,15.69673055,0.00209618
,,,,,,,,,16.13754228,0.001957342
,,,,,,,,,16.67418264,0.001930698
,,,,,,,,,17.17249154,0.001957342
,,,,,,,,,17.68996618,0.001957342
