kpc_r,error vcirc kms
0.1263272727272727,1218201.934112058
0.2666909090909091,1218201.934112058
0.42109090909090907,1218201.934112058
0.5895272727272727,1218201.934112058
0.7860363636363636,1218201.934112058
0.9825454545454544,1218201.934112058
1.2071272727272726,1218201.934112058
1.459781818181818,1218201.934112058
1.7264727272727272,1218201.934112058
2.035272727272727,1218201.934112058
2.3581090909090907,1218201.934112058
2.7230545454545454,1218201.934112058
3.130109090909091,1218201.934112058
3.5652363636363633,1218201.934112058
4.056509090909091,1218201.934112058
4.589890909090909,1218201.934112058
5.179418181818182,1218201.934112058
5.8250909090909095,1218201.934112058
6.526909090909091,1218201.934112058
7.312945454545454,1218201.934112058
8.169163636363637,1218201.934112058
9.1096,1218201.934112058
10.148290909090909,1218201.934112058
11.299272727272728,1218201.934112058
12.54850909090909,1218201.934112058
13.938109090909089,1218201.934112058
15.44,1218201.934112058
17.124363636363636,1218201.934112058
18.94909090909091,1218201.934112058
