r kpc,sigma_tot,r kpc.1,sigma_HI_claude,r kpc.2,vcirc_claude kms,r kpc.3,sigma_sfr,r kpc;.2,molfrac
0.0,7652.0,0.0,0.001212,0.0,0.0,6.25,0.4,1.2955579037553908,0.12962499783952053
0.47694267515923566,4847.0,0.47694267515923566,0.1975,0.48,150.97,6.75,0.43,1.5301650618084686,0.4037029453009422
0.9538853503184713,3022.0,0.9538853503184713,0.3949,0.96,221.65,7.25,0.52,1.749570402076676,0.23270317877832744
1.430828025477707,1854.0,1.430828025477707,0.5924,1.44,247.13,7.75,0.41,1.9735135984000685,0.18666478009916193
1.9077707006369427,1275.0,1.9077707006369427,0.7899,1.92,252.51,8.25,0.43,2.1981374731317387,0.17016270472844808
2.3847133757961783,952.9,2.3847133757961783,0.9873,2.4,253.89,8.75,0.56,2.42548406149652,0.28699261514284985
2.861656050955414,751.9,2.861656050955414,1.185,2.88,252.25,9.25,0.68,2.6546457922833753,0.39545190761558524
3.3385987261146495,622.4,3.3385987261146495,1.382,3.36,251.54,9.75,0.75,2.881538595042638,0.4185308970833227
3.8155414012738853,523.2,3.8155414012738853,1.596,3.84,251.64,10.25,0.86,3.106162469774308,0.4276189965628463
4.292484076433121,438.3,4.292484076433121,1.816,4.32,252.07,10.75,1.0,3.3307863445059787,0.371535856353681
4.7694267515923565,360.4,4.7694267515923565,2.046,4.8,250.78,11.25,0.79,3.553141291210056,0.2676206136207075
5.246369426751593,305.9,5.246369426751593,2.282,5.28,246.0,11.75,0.54,3.777765165941726,0.2887863189874927
5.723312101910828,276.1,5.723312101910828,2.491,5.76,240.36,12.25,0.33,4.004657968700989,0.3072016784591589
6.200254777070064,259.7,6.200254777070064,2.678,6.24,236.65,12.75,0.22,4.22928184343266,0.3256170379308251
6.677197452229299,243.7,6.677197452229299,2.797,6.72,235.64,13.25,0.19,4.472057142385071,0.3660351645634431
7.154140127388535,223.8,7.154140127388535,2.836,7.2,235.92,13.75,0.16,4.696681017116741,0.3384121253559438
7.631082802547771,201.8,7.631082802547771,2.96,7.68,235.76,14.25,0.12,4.923573819876004,0.35682748482761
8.108025477707006,183.1,8.108025477707006,3.228,8.16,233.72,14.75,0.07,5.148197694607674,0.3301610876705869
8.584968152866242,174.1,8.584968152866242,3.525,8.64,230.73,15.25,0.08,5.372821569339345,0.34032540945689616
9.061910828025477,166.8,9.061910828025477,3.895,9.12,229.63,15.75,0.1,5.6019833001262,0.4414903062947507
9.538853503184713,158.9,9.538853503184713,4.232,9.6,228.34,16.25,0.09,5.828876102885463,0.5022370764999873
10.01579617834395,158.9,10.01579617834395,4.438,10.08,228.24,16.75,0.09,6.0534999776171325,0.4626560116615359
10.492738853503186,153.0,10.492738853503186,4.621,10.56,230.8,,,6.273585996293617,0.3411624712510628
10.96968152866242,144.4,10.96968152866242,4.7,11.04,233.99,,,6.4982098710252885,0.2740779474614216
11.446624203821656,134.0,11.446624203821656,4.771,11.52,236.79,,,6.736447313922515,0.2335402405724941
11.923566878980893,123.0,11.923566878980893,4.829,12.0,238.75,,,6.961071188654184,0.17375011241773372
12.400509554140127,113.8,12.400509554140127,4.886,12.48,239.8,,,6.961071188654184,0.17470675446820988
12.877452229299363,105.9,12.877452229299363,4.926,12.96,240.51,,,7.185695063385855,0.15629139499654368
13.354394904458598,99.15,13.354394904458598,4.96,13.44,241.17,,,7.410318938117524,0.18845848394380474
13.831337579617834,93.26,13.831337579617834,4.721,13.92,241.85,,,7.637211740876787,0.19312211393987608
14.30828025477707,88.44,14.30828025477707,4.424,14.4,242.65,,,7.861835615608458,0.19491581778451889
14.785222929936307,83.97,14.785222929936307,3.954,14.88,244.03,,,8.086459490340129,0.17291305062356707
15.262165605095541,78.13,15.262165605095541,3.421,15.36,245.74,,,8.311083365071799,0.16274872883725777
15.739108280254777,70.83,15.739108280254777,2.932,15.84,247.2,,,8.55385866402421,0.19766616367963785
16.216050955414012,63.49,16.216050955414012,2.467,16.32,247.87,,,8.762600042562731,0.18762142214963812
16.69299363057325,56.94,16.69299363057325,2.11,16.8,247.59,,,8.9872239172944,0.1829577921535668
17.169936305732485,51.97,17.169936305732485,1.831,17.28,246.79,,,9.229999216246812,0.20508013957082816
17.64687898089172,47.87,17.64687898089172,1.661,17.76,245.9,,,9.456892019006075,0.22624584493761332
18.123821656050954,43.86,18.123821656050954,1.583,18.24,245.12,,,9.681515893737746,0.24645490825392233
18.60076433121019,39.59,18.60076433121019,1.537,18.72,244.22,,,9.908408696497009,0.2593695759353506
19.077707006369426,36.29,19.077707006369426,1.526,19.2,243.14,,,10.133032571228679,0.2519556000441603
19.554649681528662,33.49,19.554649681528662,1.506,19.68,242.09,,,10.357656445960348,0.24466120440927952
20.0315923566879,30.85,20.0315923566879,1.468,20.16,241.13,,,10.584549248719611,0.24920525414904132
20.508535031847135,28.15,20.508535031847135,1.429,20.64,240.15,,,10.809173123451282,0.2519556000441603
20.98547770700637,25.99,20.98547770700637,1.391,21.12,239.12,,,11.033796998182954,0.24191085851416055
21.462420382165607,24.2,21.462420382165607,1.334,21.6,238.18,,,11.258420872914622,0.23078989467737512
21.93936305732484,22.52,21.93936305732484,1.24,22.08,237.41,,,11.498927243839441,0.22074515314737536
22.416305732484076,20.42,22.416305732484076,1.134,22.56,236.67,,,11.725820046598704,0.21978851109689918
22.893248407643313,18.49,22.893248407643313,1.012,23.04,235.8,,,11.950443921330375,0.20878712751642328
23.37019108280255,16.91,23.37019108280255,0.8889,23.52,234.78,,,12.175067796062043,0.201373151625233
23.847133757961785,15.58,23.847133757961785,0.7868,24.0,233.72,,,12.399691670793715,0.1802074462584478
24.324076433121018,14.3,24.324076433121018,0.6936,24.48,232.66,,,12.624315545525386,0.15449769115190087
24.801019108280254,13.11,24.801019108280254,0.6259,24.96,231.61,,,12.848939420257055,0.12783129399487772
25.27796178343949,12.05,25.27796178343949,0.5683,25.44,230.55,,,13.073563294988725,0.1067014627049854
25.754904458598727,11.41,25.754904458598727,0.5107,25.92,229.56,,,13.314069665913545,0.08829806125895015
26.23184713375796,10.4,26.23184713375796,0.4532,26.4,228.63,,,13.522811044452066,0.07818157157516469
26.708789808917196,9.532,26.708789808917196,0.3956,26.88,227.7,,,13.747434919183737,0.07541926765441476
27.185732484076432,9.259,27.185732484076432,0.3411,27.36,226.84,,,13.972058793915407,0.07174815378571246
27.66267515923567,8.529,27.66267515923567,0.2969,27.84,226.1,,,14.214834092867818,0.0597901281547604
28.139617834394905,7.806,28.139617834394905,0.2634,28.32,225.41,,,14.42357547140634,0.0515032163925106
28.61656050955414,7.141,28.61656050955414,0.2298,28.8,224.72,,,14.664081842331157,0.04322826265589177
29.093503184713377,6.533,29.093503184713377,0.1962,29.28,224.02,,,14.904588213255977,0.04138672670872515
29.570445859872613,5.976,29.570445859872613,0.1736,29.76,223.31,,,15.113329591794498,0.04046595873514183
30.047388535031846,5.466,30.047388535031846,0.1581,30.24,222.62,,,15.340222394553761,0.04322826265589177
30.524331210191082,4.998,30.524331210191082,0.1437,30.72,221.94,,,15.548963773092284,0.04046595873514183
31.00127388535032,4.568,31.00127388535032,0.1293,31.2,221.28,,,15.773587647823952,0.03862442278797522
31.478216560509555,4.18,31.478216560509555,0.1149,31.68,220.64,,,16.016362946776365,0.03862442278797522
31.955159235668788,3.826,31.955159235668788,0.1006,32.16,220.02,,,16.240986821508034,0.03403254094568962
32.432101910828024,3.5,32.432101910828024,0.08617,32.64,219.42,,,16.465610696239704,0.028507933104189753
32.90904458598726,3.201,32.90904458598726,0.07176,33.12,218.84,,,16.690234570971377,0.025745629183439825
33.3859872611465,2.925,33.3859872611465,0.05736,33.6,218.28,,,16.914858445703047,0.014708371526071056
33.86292993630573,2.677,33.86292993630573,0.04317,34.08,217.74,,,17.157633744655456,0.011037257657368769
34.33987261146497,2.45,34.33987261146497,0.02953,34.56,217.22,,,17.382257619387126,0.010117685486348553
34.816815286624205,2.241,34.816815286624205,0.02473,35.04,216.72,,,17.62503291833954,0.022074515314737538
35.29375796178344,2.048,35.29375796178344,0.01993,35.52,216.24,,,17.833774296878058,0.01931221139398761
35.77070063694268,1.874,35.77070063694268,0.01513,36.0,215.79,,,18.05839817160973,0.015629139499654367
36.24764331210191,1.715,36.24764331210191,0.01034,36.48,215.36,,,,
36.72458598726115,1.568,36.72458598726115,0.003429,36.96,214.95,,,,
37.20152866242038,1.433,37.20152866242038,0.0,37.44,214.55,,,,
37.67847133757962,1.313,37.67847133757962,0.0,37.92,214.19,,,,
38.15541401273885,1.201,38.15541401273885,0.0,38.4,213.84,,,,
38.63235668789809,1.096,38.63235668789809,0.0,38.88,213.51,,,,
39.109299363057325,1.004,39.109299363057325,0.0,39.36,213.22,,,,
39.58624203821656,0.9188,39.58624203821656,0.0,39.84,212.93,,,,
40.0631847133758,0.8388,40.0631847133758,0.0,40.32,212.67,,,,
40.540127388535026,0.7689,40.540127388535026,0.0,40.8,212.43,,,,
41.01707006369427,0.703,41.01707006369427,0.0,41.28,212.2,,,,
41.4940127388535,0.6424,41.4940127388535,0.0,41.76,212.0,,,,
41.97095541401274,0.5885,41.97095541401274,0.0,42.24,211.82,,,,
42.44789808917197,0.5375,42.44789808917197,0.0,42.72,211.66,,,,
42.924840764331215,0.4922,42.924840764331215,0.0,43.2,211.53,,,,
43.401783439490444,0.4503,43.401783439490444,0.0,43.68,211.42,,,,
43.87872611464968,0.4112,43.87872611464968,0.0,44.16,211.32,,,,
44.35566878980892,0.1963,44.35566878980892,0.0,44.64,211.19,,,,
44.83261146496815,0.0,44.83261146496815,0.0,45.12,211.05,,,,
45.30955414012739,0.0,45.30955414012739,0.0,45.6,210.85,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
