r arcmin,r kpc,vel disp kms
2,0.488692191,10.7
4,0.977384381,9.5
6,1.466076572,9.3
8,1.954768762,9.6
10,2.443460953,10
12,2.932153143,10.1
14,3.420845334,9.1
16,3.909537524,8.2
18,4.398229715,8
20,4.886921906,8.4
22,5.375614096,7.9
24,5.864306287,8
26,6.352998477,7.6
28,6.841690668,7.6
30,7.330382858,8
32,7.819075049,8.9
34,8.307767239,9.8
36,8.79645943,10.2
38,9.285151621,10.3
40,9.773843811,10.5
42,10.262536,9.5
44,10.75122819,8.8
46,11.23992038,9.1
48,11.72861257,9
50,12.21730476,8.5
52,12.70599695,8.2
54,13.19468915,8.3
56,13.68338134,7.6
58,14.17207353,7.7
60,14.66076572,6.8
62,15.14945791,7.4
64,15.6381501,7.5
66,16.12684229,6.7
68,16.61553448,6.6
70,17.10422667,6.4
72,17.59291886,8
74,18.08161105,8.2
76,18.57030324,6.5
78,19.05899543,6.5
80,19.54768762,7.4
82,20.03637981,6.5
84,20.525072,5.6
86,21.01376419,6.1
88,21.50245638,5.7
90,21.99114858,5.7
92,22.47984077,5.6
94,22.96853296,6.4
96,23.45722515,7.5
