r,v disp,r_bacchini,v disp_bacchini
0.922818792,12.47798742,0.210922787,2.409638554
1.258389262,11.87421384,0.606403013,1.18875502
1.677852349,11.97484277,1.001883239,4.016064257
2.055369128,10.70020964,1.397363465,8.257028112
2.432885906,10.26415094,1.792843691,10.02409639
2.768456376,10.49895178,2.214689266,10.95582329
3.187919463,11.03563941,2.610169492,11.40562249
3.523489933,10.86792453,3.005649718,11.18072289
3.94295302,11.10272537,3.427495292,12.46586345
4.320469799,11.16981132,3.822975518,13.65461847
4.697986577,10.93501048,4.218455744,13.52610442
5.033557047,10.49895178,4.61393597,12.94779116
5.453020134,10.23060797,5.009416196,12.97991968
5.830536913,9.761006289,5.43126177,12.91566265
6.208053691,9.626834382,5.826741996,12.43373494
6.543624161,9.492662474,6.222222222,12.49799197
6.963087248,9.224318658,6.617702448,12.40160643
7.340604027,9.056603774,7.013182674,11.50200803
7.718120805,9.593291405,7.435028249,10.95582329
8.095637584,8.821802935,7.830508475,10.79518072
8.473154362,8.150943396,8.225988701,9.542168675
8.89261745,8.117400419,8.621468927,8.064257028
9.228187919,7.647798742,9.016949153,7.261044177
9.605704698,6.742138365,9.412429379,6.779116466
10.02516779,6.507337526,9.834274953,6.682730924
10.40268456,6.339622642,10.22975518,6.97188755
10.73825503,6.205450734,10.6252354,6.393574297
11.15771812,6.373165618,11.02071563,5.879518072
11.5352349,6.272536688,11.44256121,6.008032129
11.91275168,5.970649895,11.83804143,6.265060241
12.29026846,5.870020964,12.23352166,6.104417671
12.66778523,5.568134172,12.62900188,6.714859438
13.04530201,5.333333333,13.02448211,6.939759036
13.42281879,5.433962264,13.44632768,6.746987952
13.80033557,5.70230608,13.84180791,5.429718876
14.17785235,5.601677149,14.23728814,5.269076305
14.55536913,5.36687631,,
14.93288591,5.031446541,,
15.31040268,5.132075472,,
15.68791946,4.863731656,,
16.06543624,4.729559748,,
16.44295302,4.763102725,,
16.86241611,4.863731656,,
17.23993289,4.763102725,,
17.61744966,4.49475891,,
17.95302013,4.360587002,,
18.33053691,4.327044025,,
18.75,4.293501048,,
19.12751678,4.259958071,,
19.46308725,4.427672956,,
19.88255034,3.857442348,,
20.26006711,3.589098532,,
20.63758389,3.589098532,,
20.97315436,3.689727463,,
21.39261745,3.756813417,,
21.77013423,3.253668763,,
22.14765101,3.320754717,,
